request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This keeps at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This keeps at least ZAR 20500 available over the next 90 days.
request_28,456.4,affordable_later,wait,2024-06-15:1302.4,2024-06-15,none,"Wait until 2024-06-15, then pay EUR 1302.4 in full. Paying earlier risks breaching the EUR 1100 minimum."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. This keeps at least ZAR 28300 available over the next 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This keeps the USD 900 minimum protected."
request_31,7161860,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,"Wait until 2024-09-14, then pay IDR 18164000 in full. Paying earlier risks breaching the IDR 16588900 minimum."
request_32,23199,affordable_later,wait,2025-02-16:40018,2025-02-16,none,"Wait until 2025-02-16, then pay ZAR 40018 in full. Paying earlier risks breaching the ZAR 35700 minimum."
request_33,61190,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 118000 in full. Paying earlier risks breaching the INR 102100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This keeps at least INR 138500 available over the next 90 days.
request_35,66975,affordable_later,wait,2025-12-17:212000,2025-12-17,none,"Wait until 2025-12-17, then pay INR 212000 in full. Paying earlier risks breaching the INR 106400 minimum."
request_36,1280.6,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Wait until 2026-08-15, then pay USD 3954 in full. Paying earlier risks breaching the USD 2400 minimum."
